
aldeles         quite, entirely
avsky           disgust, aversion; detest, abhor
bekymring       worry, concerned, anxious
engstelse       uneasiness, anxiety
favne           embrace
forbryter       criminal, offender, felon
fortvile        despair
fremmed         strange
gjeld           debt
hemmelighet     secret
ligge-lå-ligget to lie              
løgner          liar
medføre         involve, entail
sakfører        case runner, case manager
samtidig        contemporary
sangfugl        singing bird
sannhett        truth      
stelle          nurse, care for
stol            chair
støtte          push
ulykkelig       unhappy
virkelig        real
